id,page_number,title,type,card_date,deadline,url,n_paragraphs,n_images,n_links,n_attachments
1,1,Concours 900 Gardiens Douanes Maroc 2026,Concours / Inscription,,,https://www.tawjihnet.net/concours-900-gardiens-douanes-maroc-2026/,13,0,1,0
2,1,Candidature Bourse Fondation Jadara (FME) 2026,Information,,,https://www.tawjihnet.net/candidature-bourse-fondation-jadara-fme-2026/,22,0,1,0
3,1,Concours  Licence Pilotage ERA Marrakech 2026,Concours / Inscription,,,https://www.tawjihnet.net/concours-licence-pilotage-era-marrakech-2026/,17,0,1,0
4,1,Dalil Tawjihnet 2 Bac et Baccalauréat 2026,Guide,,,https://www.tawjihnet.net/dalil-tawjihnet-2-bac-et-baccalaureat-2026/,11,0,1,1
5,1,Concours 1620 Surveillants Adjoints DGAPR 2026,Concours / Inscription,,,https://www.tawjihnet.net/concours-1200-surveillants-adjoints-dgapr-2026/,27,0,1,0
6,1,Résultats bourse ISTIHQAQ FM6 2025,Résultats,,,https://www.tawjihnet.net/resultats-bourse-istihqaq-fm6-2025/,7,0,1,0
7,1,Concours formation 460 techniciens spécialisés Finances Locales...,Concours / Inscription,,,https://www.tawjihnet.net/concours-formation-460-techniciens-specialises-finances-locales-2026/,12,0,2,0
8,1,Concours formation 330 techniciens spécialisés génie civil 2026,Concours / Inscription,,,https://www.tawjihnet.net/concours-formation-330-techniciens-specialises-genie-civil-2026/,10,0,2,0
9,1,Résultats Définitifs ISPITS 2025 2026,Résultats,,,https://www.tawjihnet.net/resultats-definitifs-ispits-2025-2026/,21,0,25,25
10,1,Résultats ESEF El Jadida S1 Sciences Industrielles 2025 2026,Résultats,,,https://www.tawjihnet.net/resultats-esef-el-jadida-s1-sciences-industrielles-2025-2026/,6,0,0,0
11,1,Résultats Définitifs ISTP Travaux Publics 2025 2026,Résultats,,,https://www.tawjihnet.net/resultats-definitifs-istp-travaux-publics-2025-2026/,17,0,10,10
12,1,Présélection ESEF El Jadida S1 Sciences Industrielles 2025 2026,Présélection,,,https://www.tawjihnet.net/preselection-esef-el-jadida-s1-sciences-industrielles-2025-2026/,7,0,0,0
13,1,Présélection Licence ISMAC Dakhla 2025 2026,Présélection,,,https://www.tawjihnet.net/preselection-licence-ismac-dakhla-2025-2026/,8,0,0,0
14,1,Résultats et inscription Définitive EST Maroc 2025 2026,Résultats,,,https://www.tawjihnet.net/resultats-et-inscription-definitive-est-maroc-2025-2026/,85,0,214,199
15,1,Résultats DUT Prothèses Dentaires Rabat 2025 2026,Résultats,,,https://www.tawjihnet.net/resultats-dut-protheses-dentaires-rabat-2025-2026/,11,0,1,0
16,1,Résultats DUT Assistants dentaires Rabat FMD 2025 2026,Résultats,,,https://www.tawjihnet.net/resultats-dut-assistants-dentaires-rabat-fmd-2025-2026/,11,0,1,1
17,1,Présélection Licence S1 UM5 FSJES Agdal Souissi FSE 2025 2026,Présélection,,,https://www.tawjihnet.net/preselection-licence-s1-um5-fsjes-agdal-souissi-fse-2025-2026/,32,0,9,6
18,1,ESEF El Jadida S1 Sciences Industrielles 2025 2026,Information,,,https://www.tawjihnet.net/esef-el-jadida-s1-sciences-industrielles-2025-2026/,9,0,2,0
19,1,Résultats définitifs 2eme Session S1 IMS Sport Kenitra 2025 2026,Résultats,,,https://www.tawjihnet.net/resultats-definitifs-2eme-session-s1-ims-sport-kenitra-2025-2026/,18,0,2,1
